Nigersaurus|nee-zhayr-sore-us|Niger lizard|Sereno, Beck, Dutheil, Larsson, Lyon, Moussa, Sadleir, Sidor, Varricchio, Wilson & Wilson|1999
Leptoceratops|lep-toh-ker-ah-tops|slim horned face|Brown|1914
Troodon|TROH-oh-don|wounding tooth|Leidy|1856
Podokesaurus|po-doh-kee-sore-us|swift-footed lizard|Talbot|1911
Saurophaganax|sore-oh-fag-ah-naks|king of the lizard eaters|Chure|1996
Pachycephalosaurus|pack-i-KEF-al-oh-sore-russ|thick-headed lizard|Brown and Schlaikjer|1943
Euskelosaurus|yoo-skeel-oh-sore-us|true-limbed lizard|Huxley|1866
Bugenasaura|boo-jen-ah-sore-ah|large cheek lizard|Galton|1995
Erlikosaurus|er-lik-oh-sore-us|Erlik's lizard|Perle vide Barsbold and Perle|1980
Maiasaura|my-ah-SORE-ah|good mother lizard|Horner and Makela|1979
Sinocalliopteryx|sie-no-kall-ee-op-ter-iks|Chinese beautiful feather|Ji, Ji, Lü and Yuan|2007
Kentrosaurus|ken-TROH-sore-us|spiky lizard|Hennig|1915
Brachiosaurus|BRAK-ee-oh-sore-us|arm lizard|Riggs|1903
Lesothosaurus|Le-SO-toe-sore-us|Lesotho lizard|Galton|1978
Euhelopus|yoo-hel-oh-pus|true marsh foot|Wiman|1929
Nomingia|noh-ming-ee-uh|Nomingiin|Barsbold, Osmólska, Watabe, Currie and Tsogtbaatar|2000
Psittacosaurus|SIT-ak-oh-sore-us|parrot lizard|Osborn|1923
Melanorosaurus|me-lan-or-oh-sore-us|Black [Mountain] lizard|Haughton|1924
Tenontosaurus|ten-ON-toe-sore-us|sinew lizard|Ostrom|1970
Tsintaosaurus|ching-dow-sore-us|Qingdao lizard|Young|1958
Brachyceratops|brak-ee-ker-ah-tops|short-horned face|Gilmore|1914
Yimenosaurus|yee-muhn-oh-sore-us|Yimen lizard|Bai, Yang and Wang|1990
Equijubus|ee-kwee-joo-bus|(unknown)|You, Luo, Shubin, Witmer, Tang and Tang|2003
Gastonia|gas-toh-nee-ah|[Robert] Gaston|Kirkland|1998
Edmontonia|ed-mon-TONE-ee-ah|of Edmonton|Sternberg|1928
Ingenia|ing-gay-nee-ah|Ingeni-[Khobur]|Barsbold|1981
Prenocephale|preen-oh-keff-ah-lee|sloping head|Maryańska and Osmólska|1974
Yuanmousaurus|ywahn-moo-sore-us|Yuanmou (area where the type locality is) lizard|Lü, Li, Ji, Wang, Zhang and Dong|2006
Triceratops|tri-SERRA-tops|three-horned face|Marsh|1889
Rhabdodon|RAB-doh-don|rod tooth|Matherton|1869
Maxakalisaurus|max-aka-li-sore-us|Maxakali (tribe of Brazil) lizard|Kellner et al.|2006
Quaesitosaurus|kwee-siet-oh-sore-us|extraordinary lizard|Kurzanov and Bannikov|1983
Aegyptosaurus|ee-JIP-toe-SORE-us|Egyptian lizard|Stromer|1932
Amygdalodon|am-ig-dal-oh-don|almond tooth|Cabrera|1947
Centrosaurus|Cen-TROH-sore-us|sharp pointed lizard||
Irritator|irr-it-ate-or|irritator|Martill, Cruickshank, Frey, Small and Clarke|1996
Graciliceratops|gras-i-li-serra-tops|gracile horned face|Sereno|2000
Carcharodontosaurus|Kar-KAR-o-don-toe-sore-us|Carcharodon lizard|Stromer|1931
Lambeosaurus|lam-BEE-oh-SORE-us|Lambe's lizard|Parks|1923
Tyrannosaurus|tie-RAN-oh-sore-us|tyrant lizard|Osborn|1905
Cetiosauriscus|see-tee-oh-SORE-is-kuss|like whale lizard|von Huene|1927
Jinzhousaurus|jeen-joh-sore-us|Jinzhou lizard|Wang and Xu|2001
Sinvenator|sien-oh-vee-nay-tor|Chinese hunter|Xu, Norell, Wang, Makovicky and Wu|2002
Buitreraptor|bwee-tree-rap-tor|Buitrera ('vulture roost') plunderer|Makovicky, Apesteguía & Agnolin|2005
Gryposaurus|grip-oh-sore-us|hook-nosed lizard|Lambe|1914
Liliensternus|lil-ee-en-shtern-us|[for] Lilienstern|Huene|1934
Shamosaurus|shah-maw-sore-us|desert lizard|Tumanova|1983
Zuniceratops|zoo-nee-serra-tops|Zuni horned head|Wolfe and Kirkland|1998
Atlascopcosaurus|Atlass-KOP-KO-sore-us|Atlas Copco lizard|Rich and Rich|1989
Piatnitzkysaurus|pye-at-nits-key-sore-us|Piatnitzky's lizard|Bonaparte|1979
Allosaurus|AL-oh-saw-russ|other lizard|Marsh|1877
Afrovenator|aff-ROW-ven-ah-tor|African hunter|Sereno, Wilson, Larsson, Dutheil and Sues|1944
Vulcanodon|vul-kan-oh-don|volcano tooth|Raath|1972
Anchiceratops|an-key-SERRA-tops|near horned lizard|Brown|1914
Lophorhothon|lof-oh-roh-thon|crested nose|Xu, Makovicky, Wang, Norell and You|1960
Zephyrosaurus|ZEF-ear-ro-SORE-us|west wind lizard|Sues|1980
Iguanodon|ig-WHA-noh-don|iguana tooth|Boulenger and van Beneden|1881
Massospondylus|mass-oh-SPON-di-luss|massive vertebrae|Owen|1854
Deltadromeus|del-tah-drohm-ee-us|delta runner|Sereno, Duthiel, Iarochene, Larsson, Lyon, Magwene, Sidor, Varricchio and Wilson|1996
Fukuisaurus|foo-koo-I-sore-us|Fukui lizard|Kobayashi and Azuma|2003
Lamaceratops|lah-mah-serra-tops|Lama (Buddhist monk) horned face|Alifanov|2003
Erketu|er-kee-tu|Erketu = Tengri (a Mongolian creator-god)|Ksepka and Norell|2006
Nanshiungosaurus|nahn-shyung-oh-sore-us|Nanxiong lizard|Dong|1979
Homalocephale|Home-ah-loh-keff-ah-lee|level head|Maryańska and Osmólska|1974
Orodromeus|or-oh-DROM-ee-us|mountain runner|Horner and Weishampel|1988
Cetiosaurus|See-TEE-oh-sore-us|whale lizard|Phillips|1871
Pelicanimimus|pel-e-kan-i-mim-us|pelican mimic|Pérez-Moreno, Sanz, Buscalioni, Moratalla, Ortega and Rasskin-Gutman|1994
Alioramus|al-ee-oh-ray-mus|other [evolutionary] branch|Kurzanov|1976
Guanlong|gwan-long|crowned dragon|Xu, Clark, Forster, Norell, Erickson, Eberth, Jia and Zhao|2006
Valdosaurus|val-doh-sore-us|Wealden lizard|Galton|1975
Torosaurus|tor-oh-SORE-us|bull lizard|Marsh|1891
Paralititan|pa-ral-i-tie-tuhn|tidal giant|Smith, Lamanna, Lacovara, Dodson, Smith, Poole, Giegengack and Attia|2001
Opisthocoelicaudia|o-pis-tho-seel-i-cawd-ee-a|hollow-backed tail [vertebrae]|Borsuk-Bialynicka|1977
Alectrosaurus|ah-LEK-tro-sore-us|eagle lizard|Gilmore|1933
Mononykus|mono-Nike-us|single claw|Perle, Norell, Chiappe and Clark|1993
Monolophosaurus|mono-Loh-foh-sore-us|single-crested lizard|Zhao and Currie|1993
Bambiraptor|bam-bee-rap-tor|Bambi plunderer|Burnham, Derstler, Currie, Bakker, Zhou and Ostrom|2000
Poekilopleuron|peek-i-loh-ploor-on|varied ribs|Eudes-Deslongchamps|1838
Haplocanthosaurus|hap-lo-kan-tho-sore-us|simple-spined lizard|Hatcher|1903
Conchoraptor|kon-koh-rap-tor|conch thief|Barsbold|1986
Hesperosaurus|hes-per-oh-sore-us|western lizard|Carpenter, Miles and Cloward|2001
Bactrosaurus|bak-troh-sore-us|club [spined] lizard|Gilmore|1933
Therizinosaurus|THER-ih-zine-oh-SORE-us|scythe lizard|Maleev|1915
Shuvuuia|shu-voo-ee-ah|bird|Chiappe, Norell and Clark|1998
Nqwebasaurus|n-qu-web-ah-sore-us|Nqweba lizard|de Klerk, Forster, Sampson, Chinsamy and Ross|2000
Avalonia|ah-val-oh-nee-a|[for] Avalon|Seeley|1898
Tarbosaurus|TAR-bow-SORE-us|alarming lizard|Maleev|1955
Muttaburrasaurus|MUT-a-BURR-a-SORE-us|Muttaburra lizard|Bartholomai and Molnar|1981
Chinshakiangosaurus|jing-sha-kiang-oh-sore-us|Chinshakiang lizard|Yeh|1975
Sauropelta|sore-oh-pelt-ah|lizard shield|Ostrom|1970
Camptosaurus|KAMP-toe-sore-us|bent lizard|Marsh|1885
Anchisaurus|ANK-ee-sore-us|near lizard|Marsh|1885
Huayangosaurus|hoy-YANG-oh-SORE-us|Huayang lizard|Dong, Tang and Zhou|1982
Microraptor|MIKE-row-rap-tor|tiny plunderer|Xu, Zhou and Wang|2000
Guaibasaurus|gwie-bah-sore-us|[Rio] Guaiba lizard|Bonaparte, Ferigolo and Ribeiro|1999
Aucasaurus|aw-ka-sore-us|Auca lizard|Coria, Chiappe and Dingus|2002
Deinonychus|die-NON-i-kuss|terrible claw|Ostrom|1969
Saichania|sigh-CHAN-ee-a|beautiful|Maryañska|1977
Argentinosaurus|AR-gent-eeno-sore-us|Argentina lizard|Bonaparte and Coria|1993
Zalmoxes|zal-moks-eez|Zalmoxes (Dacian deity)|Nopcsa|1902
Pantydraco|pant-ee-drak-oh|Pant-y-ffynnon dragon|Galton, Yates and Kermack 2007|2003
Hadrosaurus|HAD-row-SORE-us|big lizard|Leidy|1858
Heterodontosaurus|HET-er-oh-DON’T-oh-sore-us|different-teeth lizard|Crompton and Charig|1962
Gargoyleosaurus|gahr-goy-lee-oh-sore-us|gargoyle lizard|Carpenter, Miles and Cloward|1998
Alamosaurus|ah-la-mow-SORE-us|Alamo lizard|Gilmore|1922
Nipponosaurus|nip-on-oh-sore-us|Japanese lizard|Nagao|1936
Archaeoceratops|ahr-kee-oh-serra-tops|ancient horned face|Dong and Azuma|1987
Arrhinoceratops|ay-rine-oh-ker-ah-tops|without-nose-horn face|Parks|1925
Pelorosaurus|pel-oh-ROW-sore-us|monstrous lizard|Mantell|1850
Saurolophus|SORE-oh-LOAF-us|ridged lizard|Brown|1912
Scelidosaurus|skel-EYE-doh-sore-us|limb lizard|Owen|1868
Lurdusaurus|loor-duh-sore-us|heavy lizard|Taquet & Russell|1999
Micropachycephalosaurus|mike-row-pak-ee-keff-ah-loh-sore-us|tiny thick-headed lizard|Dong|1978
Gilmoreosaurus|GIL-more-oh-SORE-us|Gilmore's lizard|Brett-Surman|1979
Sinornithosaurus|sine-or-nith-oh-sore-us|Chinese bird lizard|Xu, Wang and Wu|1999
Carnotaurus|Kar-noh-TORE-us|carnivorous bull|Bonaparte|1985
Protarchaeopteryx|pro-tark-ee-op-ter-iks|before Archaeopteryx|Ji and Ji|1997
Fukuiraptor|foo-koo-ee-rap-tor|Fukui plunderer|Azuma and Currie|2000
Plateosaurus|plat-ee-oh-sore-us|flat lizard|Meyer|1837
Tuojiangosaurus|too-YANG-oh-sore-us|Tuo River lizard|Dong, Li, Zhou and Zhang|1973
Anserimimus|ANN-ser-ih-mee-muss|goose mimic|Barsbold|1988
Cryolophosaurus|cry-o-loaf-oh-sore-us|frozen crested lizard|Hammer and Hickerson|1994
Rugops|roo-gops|wrinkle face|Sereno, Wilson and Conrad|2004
Riojasaurus|ree-oh-hah-sore-us|[La] Rioja lizard|Bonaparte|1969
Ornithomimus|orn-ITH-oh-MEE-mus|bird mimic|Marsh|1890
Shanag|sha-nag|named after the dancers in the Buddhist Tsam festival|Turner, Hwang and Norell|2007
Ankylosaurus|an-KIE-loh-sore-us|stiff lizard|Brown|1908
Coloradisaurus|ko-lo-rahd-i-sore-us|[Los] Colorados lizard|Bonaparte|1978
Europasaurus|yoo-roh-pah-sore-us|Europe lizard|Sander, Mateus, Laven and Knötschke|2006
Kritosaurus|KRIT-oh-SORE-us|noble lizard|Brown|1910
Juravenator|ju-rah-ve-nay-tor|Jura (Bavarian mountains) hunter|Göhlich & Chiappe|2006
Metriacanthosaurus|met-ree-a-kan-tho-sore-us|moderately-spined lizard|Walker|1964
Eolambia|ee-oh-lam-bee-ah|dawn lambeosaurine|Kirkland|1998
Jaxartosaurus|jak-sahr-toh-sore-us|Jaxartes [River] lizard|Riabinin|1939
Pinacosaurus|pin-ak-oh-sore-us|plank lizard|Gilmore|1933
Chungkingosaurus|chung-ching-oh-sore-us|Chongqing lizard|Dong, Zhou and Zhang|1983
Stegosaurus|STEG-oh-SORE-us|roof lizard|Marsh|1877
